baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
4o_empty,2,22,13,17,47,4,10,7,0.8245614035087719,0.8703703703703703,0.8468468468468469,0.75,38,50,28,24,64,42,28,60,38,0.6087697763229678,0.6893617021276597,0.6281323877068558,0.36408892525913805,0.4269503546099291,0.3820330969267139,0.4617430441898526,0.5219858156028369,0.4775413711583924,0.4318181818181818,0.5757575757575758,0.49350649350649356,0.2727272727272727,0.36363636363636365,0.3116883116883117,0.3181818181818182,0.42424242424242425,0.36363636363636365
4o_name,0,23,11,16,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,56,64,18,38,82,36,37,83,37,0.6292902066486973,0.8031446540880502,0.6668763102725368,0.38131176999101524,0.5044025157232704,0.4048218029350106,0.44878706199460916,0.6100628930817609,0.48511530398322855,0.4666666666666667,0.7567567567567568,0.577319587628866,0.31666666666666665,0.5135135135135135,0.39175257731958757,0.30833333333333335,0.5,0.3814432989690722
4o_name_desc,1,9,7,5,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,56,112,19,48,120,27,35,133,40,0.45437242798353905,0.8021604938271604,0.5397969314635982,0.38070987654320987,0.6663580246913581,0.45173108784219906,0.293261316872428,0.5493827160493827,0.3529238251460473,0.3333333333333333,0.7466666666666667,0.46090534979423864,0.2857142857142857,0.64,0.3950617283950617,0.20833333333333334,0.4666666666666667,0.28806584362139914
4o_name_desc_mopt,0,16,16,11,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,55,82,20,55,82,20,35,102,40,0.556194885361552,0.7904320987654322,0.6129055101277324,0.556194885361552,0.7904320987654322,0.6129055101277324,0.3881172839506173,0.5709876543209876,0.43559670781893006,0.40145985401459855,0.7333333333333333,0.5188679245283019,0.40145985401459855,0.7333333333333333,0.5188679245283019,0.25547445255474455,0.4666666666666667,0.330188679245283
4o_name_sdesc,0,24,17,18,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,56,16,45,69,29,39,75,35,0.6801264772962886,0.8257861635220125,0.7059748427672956,0.5181767917616974,0.6213836477987422,0.529874213836478,0.5124576681180455,0.6201257861635219,0.5350104821802936,0.5087719298245614,0.7837837837837838,0.6170212765957447,0.39473684210526316,0.6081081081081081,0.47872340425531923,0.34210526315789475,0.527027027027027,0.41489361702127664
4o_name_sdesc_mopt,1,29,29,19,53,2,12,1,0.8153846153846154,0.9814814814814815,0.8907563025210083,0.8088235294117647,56,51,18,56,51,18,34,73,40,0.7270440251572328,0.7880503144654087,0.7318059299191374,0.7270440251572328,0.7880503144654087,0.7318059299191374,0.49040880503144646,0.5534591194968553,0.5022461814914645,0.5233644859813084,0.7567567567567568,0.6187845303867403,0.5233644859813084,0.7567567567567568,0.6187845303867403,0.3177570093457944,0.4594594594594595,0.37569060773480667
4o_name_url,0,28,20,20,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,35,16,44,49,30,36,57,38,0.7222970949386043,0.8163522012578616,0.7425004764627405,0.5367625037436358,0.5836477987421383,0.5412426148275205,0.509508834980533,0.5666666666666667,0.5206213074137602,0.6236559139784946,0.7837837837837838,0.6946107784431138,0.4731182795698925,0.5945945945945946,0.5269461077844312,0.3870967741935484,0.4864864864864865,0.4311377245508982
4o_name_url_sdesc,0,25,17,19,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,60,64,15,48,76,27,39,85,36,0.6875206745820781,0.8382716049382716,0.7146927146927147,0.5239404276684979,0.6469135802469137,0.5418532085198753,0.5077020202020202,0.6117283950617284,0.5303622303622304,0.4838709677419355,0.8,0.6030150753768845,0.3870967741935484,0.64,0.4824120603015075,0.31451612903225806,0.52,0.3919597989949749
