baseline,failed_cnt,m_acc,on_acc,ov_acc,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
closedbook,0,"27.5, 41/149","24.8, 37/149","24.8, 37/149",60,23,66,0,47.6,100.0,64.5,55.7,54,294,29,41,307,42,35,313,48,15.5,65.1,25.1,11.8,49.4,19.0,10.1,42.2,16.2
name,0,"18.8, 28/149","16.1, 24/149","16.1, 24/149",59,10,79,1,42.8,98.3,59.6,46.3,69,588,14,50,607,33,46,611,37,10.5,83.1,18.6,7.6,60.2,13.5,7.0,55.4,12.4
name_desc(rag),0,"13.4, 20/149","10.7, 16/149","10.7, 16/149",60,4,85,0,41.4,100.0,58.5,43.0,66,651,17,46,671,37,43,674,40,9.2,79.5,16.5,6.4,55.4,11.5,6.0,51.8,10.8
name_desc,2,"32.2, 48/149","28.2, 42/149","27.5, 41/149",58,24,65,2,47.2,96.7,63.4,55.0,60,228,23,44,244,39,41,247,42,20.8,72.3,32.3,15.3,53.0,23.7,14.2,49.4,22.1
name_desc_opt(rag),0,"16.8, 25/149","13.4, 20/149","13.4, 20/149",60,6,83,0,42.0,100.0,59.1,44.3,71,834,12,52,853,31,49,856,34,7.8,85.5,14.4,5.7,62.7,10.5,5.4,59.0,9.9
ourmethod,0,"83.1, 118/142","79.6, 113/142","79.6, 113/142",48,77,8,9,85.7,84.2,85.0,88.0,52,10,25,47,15,30,46,16,31,83.9,67.5,74.8,75.8,61.0,67.6,74.2,59.7,66.2
