baseline,failed_cnt,m_acc,on_acc,ov_acc,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
closedbook,1,"38.2, 26/68","20.6, 14/68","33.8, 23/68",42,4,16,6,72.4,87.5,79.2,67.6,40,64,29,24,80,45,29,75,40,38.5,58.0,46.2,23.1,34.8,27.7,27.9,42.0,33.5
name,1,"42.6, 29/68","23.5, 16/68","33.8, 23/68",48,3,17,0,73.8,100.0,85.0,75.0,55,272,13,36,291,32,40,287,28,16.8,80.9,27.8,11.0,52.9,18.2,12.2,58.8,20.3
name_desc(rag),2,"16.2, 11/68","14.7, 10/68","13.2, 9/68",48,2,18,0,72.7,100.0,84.2,73.5,51,170,15,44,177,22,35,186,31,23.1,77.3,35.5,19.9,66.7,30.7,15.8,53.0,24.4
name_desc,2,"44.1, 30/68","29.4, 20/68","30.9, 21/68",48,2,18,0,72.7,100.0,84.2,73.5,54,160,13,42,172,25,36,178,31,25.2,80.6,38.4,19.6,62.7,29.9,16.8,53.7,25.6
name_desc_opt(rag),1,"25.0, 17/68","25.0, 17/68","13.2, 9/68",48,1,19,0,71.6,100.0,83.5,72.1,53,117,14,53,117,14,30,140,37,31.2,79.1,44.7,31.2,79.1,44.7,17.6,44.8,25.3
name_desc_opt,1,"51.5, 35/68","51.5, 35/68","39.7, 27/68",47,4,16,1,74.6,97.9,84.7,75.0,57,191,11,56,192,12,43,205,25,23.0,83.8,36.1,22.6,82.4,35.4,17.3,63.2,27.2
ourmethod,0,"79.7, 55/69","76.8, 53/69","75.4, 52/69",45,18,3,3,93.8,93.8,93.8,91.3,57,6,11,52,11,16,47,16,21,90.5,83.8,87.0,82.5,76.5,79.4,74.6,69.1,71.8
