baseline,failed_cnt,m_acc,on_acc,ov_acc,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
gpt-4o_empty,0,"27.52, 41/149","24.83, 37/149","24.83, 37/149",60,23,66,0,47.62,100.00,64.52,55.70,54,294,29,41,307,42,35,313,48,15.52,65.06,25.06,11.78,49.40,19.03,10.06,42.17,16.24
gpt-4o_name,0,"18.79, 28/149","16.11, 24/149","16.11, 24/149",59,10,79,1,42.75,98.33,59.60,46.31,69,588,14,50,607,33,46,611,37,10.50,83.13,18.65,7.61,60.24,13.51,7.00,55.42,12.43
gpt-4o_name_desc,2,"32.21, 48/149","28.19, 42/149","27.52, 41/149",58,24,65,2,47.15,96.67,63.39,55.03,60,228,23,44,244,39,41,247,42,20.83,72.29,32.35,15.28,53.01,23.72,14.24,49.40,22.10
gpt-4o_name_sdesc,2,"23.49, 35/149","19.46, 29/149","19.46, 29/149",59,14,75,1,44.03,98.33,60.82,48.99,69,430,14,47,452,36,44,455,39,13.83,83.13,23.71,9.42,56.63,16.15,8.82,53.01,15.12
gpt-4o_name_url,4,"22.15, 33/149","18.79, 28/149","18.79, 28/149",60,12,77,0,43.80,100.00,60.91,48.32,70,399,13,52,417,31,48,421,35,14.93,84.34,25.36,11.09,62.65,18.84,10.23,57.83,17.39
gpt-4o_name_url_sdesc,2,"24.83, 37/149","20.13, 30/149","20.13, 30/149",59,12,77,1,43.38,98.33,60.20,47.65,72,397,11,52,417,31,48,421,35,15.35,86.75,26.09,11.09,62.65,18.84,10.23,57.83,17.39
gpt-4o_rag_name_desc,0,"13.42, 20/149","10.74, 16/149","10.74, 16/149",60,4,85,0,41.38,100.00,58.54,42.95,66,651,17,46,671,37,43,674,40,9.21,79.52,16.50,6.42,55.42,11.50,6.00,51.81,10.75
gpt-4o_rag_name_desc_opt,0,"16.78, 25/149","13.42, 20/149","13.42, 20/149",60,6,83,0,41.96,100.00,59.11,44.30,71,834,12,52,853,31,49,856,34,7.85,85.54,14.37,5.75,62.65,10.53,5.41,59.04,9.92
gpt-4o_rag_name_sdesc_opt,1,"13.42, 20/149","9.40, 14/149","9.40, 14/149",59,7,82,1,41.84,98.33,58.71,44.30,62,666,21,37,691,46,33,695,50,8.52,74.70,15.29,5.08,44.58,9.12,4.53,39.76,8.14
