baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
4o_empty,1,21,9,18,47,3,11,7,0.8103448275862069,0.8703703703703703,0.8392857142857144,0.7352941176470589,40,39,26,24,55,42,30,49,36,0.6035460992907801,0.7340425531914894,0.6387031408308005,0.3127659574468085,0.4290780141843971,0.34792299898682877,0.48297872340425524,0.5602836879432623,0.502178318135765,0.5063291139240507,0.6060606060606061,0.5517241379310346,0.3037974683544304,0.36363636363636365,0.33103448275862074,0.379746835443038,0.45454545454545453,0.4137931034482758
4o_name,1,24,11,18,53,2,12,1,0.8153846153846154,0.9814814814814815,0.8907563025210083,0.8088235294117647,55,58,19,35,78,39,37,76,37,0.6487421383647799,0.8031446540880502,0.6806898860173,0.3764150943396226,0.4666666666666667,0.3923066081778624,0.4764150943396226,0.6194968553459118,0.5073146239627927,0.48672566371681414,0.7432432432432432,0.5882352941176471,0.30973451327433627,0.47297297297297297,0.37433155080213903,0.3274336283185841,0.5,0.3957219251336898
4o_name_desc,2,8,6,4,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,54,103,20,46,111,28,36,121,38,0.45290506139562736,0.8166666666666667,0.539340847831414,0.3721922731356693,0.6783018867924528,0.4433240763429443,0.30618448637316564,0.5911949685534591,0.3749190013340956,0.34394904458598724,0.7297297297297297,0.4675324675324675,0.2929936305732484,0.6216216216216216,0.3982683982683982,0.22929936305732485,0.4864864864864865,0.3116883116883117
4o_name_desc_mopt,0,14,14,8,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,54,67,21,54,67,21,34,87,41,0.5574074074074074,0.7719135802469137,0.6090548340548341,0.5574074074074074,0.7719135802469137,0.6090548340548341,0.35648148148148145,0.5401234567901235,0.4082304526748971,0.4462809917355372,0.72,0.5510204081632653,0.4462809917355372,0.72,0.5510204081632653,0.2809917355371901,0.4533333333333333,0.3469387755102041
4o_name_sdesc,1,23,17,17,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,55,61,19,45,71,29,35,81,39,0.6405660377358491,0.7937106918238994,0.6739719400096759,0.5116352201257862,0.6364779874213836,0.5356071601354621,0.4699685534591195,0.5817610062893082,0.4981132075471698,0.47413793103448276,0.7432432432432432,0.5789473684210525,0.3879310344827586,0.6081081081081081,0.47368421052631576,0.3017241379310345,0.47297297297297297,0.36842105263157887
4o_name_sdesc_mopt,0,33,33,23,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,59,31,15,58,32,16,38,52,36,0.7995283018867925,0.8408805031446541,0.794429469901168,0.7900943396226415,0.8220125786163522,0.7818508535489668,0.5487421383647798,0.5880503144654088,0.5522012578616352,0.6555555555555556,0.7972972972972973,0.7195121951219513,0.6444444444444445,0.7837837837837838,0.7073170731707318,0.4222222222222222,0.5135135135135135,0.4634146341463415
4o_name_url,0,27,18,20,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,50,40,24,37,53,37,34,56,40,0.6722648420761628,0.7371069182389938,0.6809224318658282,0.4961642131453452,0.5327044025157233,0.4953878406708596,0.49471283433547575,0.5440251572327044,0.5029350104821803,0.5555555555555556,0.6756756756756757,0.6097560975609757,0.4111111111111111,0.5,0.45121951219512196,0.37777777777777777,0.4594594594594595,0.41463414634146345
4o_name_url_sdesc,0,26,19,19,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,58,16,48,68,26,39,77,35,0.7011006289308176,0.8220125786163522,0.7251572327044026,0.5674528301886792,0.6647798742138364,0.5855345911949688,0.5226415094339623,0.6289308176100628,0.5459119496855346,0.5,0.7837837837837838,0.6105263157894737,0.41379310344827586,0.6486486486486487,0.5052631578947369,0.33620689655172414,0.527027027027027,0.41052631578947363
