baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
4o_empty,1,24,12,19,47,3,11,7,0.8103448275862069,0.8703703703703703,0.8392857142857144,0.7352941176470589,40,64,26,24,80,42,26,78,40,0.4890804597701149,0.5948275862068966,0.5175697865353038,0.253448275862069,0.3477011494252873,0.28193760262725776,0.3482758620689655,0.3936781609195402,0.3595238095238095,0.38461538461538464,0.6060606060606061,0.47058823529411764,0.23076923076923078,0.36363636363636365,0.28235294117647064,0.25,0.3939393939393939,0.30588235294117644
4o_name,1,26,13,17,53,2,12,1,0.8153846153846154,0.9814814814814815,0.8907563025210083,0.8088235294117647,55,272,19,35,292,39,32,295,42,0.528974358974359,0.6548717948717948,0.5550240609064139,0.3069230769230769,0.38051282051282054,0.3198807728219493,0.3294871794871794,0.4282051282051282,0.3495539754363284,0.16819571865443425,0.7432432432432432,0.27431421446384036,0.10703363914373089,0.47297297297297297,0.17456359102244387,0.09785932721712538,0.43243243243243246,0.1596009975062344
4o_name_desc,2,9,7,5,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,54,167,20,46,175,28,32,189,42,0.36369648869648863,0.6558080808080807,0.43310704447068094,0.29888167388167386,0.5446969696969698,0.3560026673663037,0.2265151515151515,0.41414141414141414,0.2727884909703091,0.24434389140271492,0.7297297297297297,0.3661016949152542,0.2081447963800905,0.6216216216216216,0.31186440677966104,0.14479638009049775,0.43243243243243246,0.2169491525423729
4o_name_desc_mopt,0,15,15,7,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,54,116,21,54,116,21,23,147,52,0.44925373134328356,0.6221393034825872,0.4908800155068812,0.44925373134328356,0.6221393034825872,0.4908800155068812,0.208955223880597,0.30597014925373134,0.23582089552238802,0.3176470588235294,0.72,0.4408163265306122,0.3176470588235294,0.72,0.4408163265306122,0.13529411764705881,0.30666666666666664,0.18775510204081633
4o_name_sdesc,1,24,18,16,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,55,273,19,45,283,29,30,298,44,0.5143939393939394,0.6373737373737374,0.5412198912198912,0.41085858585858587,0.5111111111111111,0.4301087801087801,0.33459595959595956,0.39898989898989895,0.35151515151515156,0.1676829268292683,0.7432432432432432,0.27363184079601993,0.13719512195121952,0.6081081081081081,0.22388059701492538,0.09146341463414634,0.40540540540540543,0.1492537313432836
4o_name_sdesc_mopt,0,34,34,16,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,59,92,15,58,93,16,27,124,47,0.6420454545454546,0.6752525252525253,0.637950937950938,0.634469696969697,0.6601010101010102,0.6278499278499279,0.3125,0.33838383838383834,0.31414141414141417,0.39072847682119205,0.7972972972972973,0.5244444444444444,0.3841059602649007,0.7837837837837838,0.5155555555555557,0.17880794701986755,0.36486486486486486,0.24
4o_name_url,0,28,19,18,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,50,252,24,37,265,37,29,273,45,0.5398490398490399,0.591919191919192,0.546801346801347,0.39843489843489843,0.4277777777777778,0.3978114478114479,0.3430735930735931,0.3686868686868687,0.3462962962962963,0.16556291390728478,0.6756756756756757,0.26595744680851063,0.12251655629139073,0.5,0.19680851063829788,0.09602649006622517,0.3918918918918919,0.1542553191489362
4o_name_url_sdesc,0,27,20,19,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,441,16,48,451,26,34,465,40,0.5630050505050505,0.6601010101010102,0.5823232323232324,0.4556818181818182,0.5338383838383839,0.47020202020202034,0.3882575757575757,0.43686868686868685,0.398989898989899,0.11623246492985972,0.7837837837837838,0.2024432809773124,0.09619238476953908,0.6486486486486487,0.16753926701570682,0.06813627254509018,0.4594594594594595,0.11867364746945899
