baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
4o_empty,1,21,9,16,47,3,11,7,0.8103448275862069,0.8703703703703703,0.8392857142857144,0.7352941176470589,40,39,26,24,55,42,26,53,40,0.6035460992907801,0.7340425531914894,0.6387031408308005,0.3127659574468085,0.4290780141843971,0.34792299898682877,0.4297872340425532,0.4858156028368794,0.44366767983789257,0.5063291139240507,0.6060606060606061,0.5517241379310346,0.3037974683544304,0.36363636363636365,0.33103448275862074,0.3291139240506329,0.3939393939393939,0.3586206896551724
4o_name,1,24,11,15,53,2,12,1,0.8153846153846154,0.9814814814814815,0.8907563025210083,0.8088235294117647,55,58,19,35,78,39,32,81,42,0.6487421383647799,0.8031446540880502,0.6806898860173,0.3764150943396226,0.4666666666666667,0.3923066081778624,0.4040880503144654,0.5251572327044025,0.4286982717615348,0.48672566371681414,0.7432432432432432,0.5882352941176471,0.30973451327433627,0.47297297297297297,0.37433155080213903,0.2831858407079646,0.43243243243243246,0.34224598930481287
4o_name_desc,2,8,6,4,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,54,103,20,46,111,28,32,125,42,0.45290506139562736,0.8166666666666667,0.539340847831414,0.3721922731356693,0.6783018867924528,0.4433240763429443,0.2820754716981132,0.5157232704402516,0.33969887554793204,0.34394904458598724,0.7297297297297297,0.4675324675324675,0.2929936305732484,0.6216216216216216,0.3982683982683982,0.20382165605095542,0.43243243243243246,0.2770562770562771
4o_name_desc_mopt,0,14,14,6,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,54,67,21,54,67,21,23,98,52,0.5574074074074074,0.7719135802469137,0.6090548340548341,0.5574074074074074,0.7719135802469137,0.6090548340548341,0.25925925925925924,0.37962962962962965,0.2925925925925925,0.4462809917355372,0.72,0.5510204081632653,0.4462809917355372,0.72,0.5510204081632653,0.19008264462809918,0.30666666666666664,0.2346938775510204
4o_name_sdesc,1,23,17,15,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,55,61,19,45,71,29,30,86,44,0.6405660377358491,0.7937106918238994,0.6739719400096759,0.5116352201257862,0.6364779874213836,0.5356071601354621,0.41666666666666663,0.4968553459119497,0.43773584905660384,0.47413793103448276,0.7432432432432432,0.5789473684210525,0.3879310344827586,0.6081081081081081,0.47368421052631576,0.25862068965517243,0.40540540540540543,0.3157894736842105
4o_name_sdesc_mopt,0,33,33,15,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,59,31,15,58,32,16,27,63,47,0.7995283018867925,0.8408805031446541,0.794429469901168,0.7900943396226415,0.8220125786163522,0.7818508535489668,0.3891509433962264,0.4213836477987421,0.39119496855345914,0.6555555555555556,0.7972972972972973,0.7195121951219513,0.6444444444444445,0.7837837837837838,0.7073170731707318,0.3,0.36486486486486486,0.3292682926829268
4o_name_url,0,27,18,17,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,50,40,24,37,53,37,29,61,45,0.6722648420761628,0.7371069182389938,0.6809224318658282,0.4961642131453452,0.5327044025157233,0.4953878406708596,0.4272237196765499,0.45911949685534587,0.43123689727463316,0.5555555555555556,0.6756756756756757,0.6097560975609757,0.4111111111111111,0.5,0.45121951219512196,0.32222222222222224,0.3918918918918919,0.3536585365853659
4o_name_url_sdesc,0,26,19,18,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,58,16,48,68,26,34,82,40,0.7011006289308176,0.8220125786163522,0.7251572327044026,0.5674528301886792,0.6647798742138364,0.5855345911949688,0.48349056603773577,0.5440251572327044,0.49685534591194974,0.5,0.7837837837837838,0.6105263157894737,0.41379310344827586,0.6486486486486487,0.5052631578947369,0.29310344827586204,0.4594594594594595,0.35789473684210527
