baseline,failed_cnt,rule_m_correct,rule_on_correct,rule_ov_correct,exmap_tp,exmap_tn,exmap_fp,exmap_fn,exmap_precision,exmap_recall,exmap_f1,exmap_accuracy,m_all_tp,m_all_fp,m_all_fn,on_all_tp,on_all_fp,on_all_fn,ov_all_tp,ov_all_fp,ov_all_fn,m_macro_precision,m_macro_recall,m_macro_f1,on_macro_precision,on_macro_recall,on_macro_f1,ov_macro_precision,ov_macro_recall,ov_macro_f1,m_micro_precision,m_micro_recall,m_micro_f1,on_micro_precision,on_micro_recall,on_micro_f1,ov_micro_precision,ov_micro_recall,ov_micro_f1
4o_empty,2,22,13,15,47,4,10,7,0.8245614035087719,0.8703703703703703,0.8468468468468469,0.75,38,50,28,24,64,42,23,65,43,0.6087697763229678,0.6893617021276597,0.6281323877068558,0.36408892525913805,0.4269503546099291,0.3820330969267139,0.3998226950354609,0.4432624113475177,0.4099290780141844,0.4318181818181818,0.5757575757575758,0.49350649350649356,0.2727272727272727,0.36363636363636365,0.3116883116883117,0.26136363636363635,0.3484848484848485,0.2987012987012987
4o_name,0,23,11,14,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,56,64,18,38,82,36,32,88,42,0.6292902066486973,0.8031446540880502,0.6668763102725368,0.38131176999101524,0.5044025157232704,0.4048218029350106,0.4006738544474394,0.5251572327044025,0.4303983228511531,0.4666666666666667,0.7567567567567568,0.577319587628866,0.31666666666666665,0.5135135135135135,0.39175257731958757,0.26666666666666666,0.43243243243243246,0.3298969072164949
4o_name_desc,1,9,7,5,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,56,112,19,48,120,27,30,138,45,0.45437242798353905,0.8021604938271604,0.5397969314635982,0.38070987654320987,0.6663580246913581,0.45173108784219906,0.2634259259259259,0.4567901234567901,0.3090966646522202,0.3333333333333333,0.7466666666666667,0.46090534979423864,0.2857142857142857,0.64,0.3950617283950617,0.17857142857142858,0.4,0.2469135802469136
4o_name_desc_mopt,0,16,16,8,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,55,82,20,55,82,20,22,115,53,0.556194885361552,0.7904320987654322,0.6129055101277324,0.556194885361552,0.7904320987654322,0.6129055101277324,0.26851851851851855,0.3611111111111111,0.29259259259259257,0.40145985401459855,0.7333333333333333,0.5188679245283019,0.40145985401459855,0.7333333333333333,0.5188679245283019,0.16058394160583941,0.29333333333333333,0.20754716981132074
4o_name_sdesc,0,24,17,16,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,56,16,45,69,29,32,82,42,0.6801264772962886,0.8257861635220125,0.7059748427672956,0.5181767917616974,0.6213836477987422,0.529874213836478,0.4496855345911949,0.5220125786163522,0.4641509433962264,0.5087719298245614,0.7837837837837838,0.6170212765957447,0.39473684210526316,0.6081081081081081,0.47872340425531923,0.2807017543859649,0.43243243243243246,0.3404255319148936
4o_name_sdesc_mopt,1,29,29,14,53,2,12,1,0.8153846153846154,0.9814814814814815,0.8907563025210083,0.8088235294117647,56,51,18,56,51,18,26,81,48,0.7270440251572328,0.7880503144654087,0.7318059299191374,0.7270440251572328,0.7880503144654087,0.7318059299191374,0.37798742138364777,0.4213836477987421,0.38526504941599277,0.5233644859813084,0.7567567567567568,0.6187845303867403,0.5233644859813084,0.7567567567567568,0.6187845303867403,0.24299065420560748,0.35135135135135137,0.28729281767955805
4o_name_url,0,28,20,17,53,1,13,1,0.803030303030303,0.9814814814814815,0.8833333333333332,0.7941176470588235,58,35,16,44,49,30,30,63,44,0.7222970949386043,0.8163522012578616,0.7425004764627405,0.5367625037436358,0.5836477987421383,0.5412426148275205,0.4366576819407008,0.4779874213836478,0.44381551362683436,0.6236559139784946,0.7837837837837838,0.6946107784431138,0.4731182795698925,0.5945945945945946,0.5269461077844312,0.3225806451612903,0.40540540540540543,0.3592814371257485
4o_name_url_sdesc,0,25,17,16,54,1,13,0,0.8059701492537313,1.0,0.8925619834710743,0.8088235294117647,60,64,15,48,76,27,33,91,42,0.6875206745820781,0.8382716049382716,0.7146927146927147,0.5239404276684979,0.6469135802469137,0.5418532085198753,0.4412037037037037,0.5191358024691358,0.4565255731922399,0.4838709677419355,0.8,0.6030150753768845,0.3870967741935484,0.64,0.4824120603015075,0.2661290322580645,0.44,0.3316582914572865
